chrom	start	end	RegionID	PeakRegion	Locus	LogFC	F	PValue	FDR
chr1	5340644	5341309	WT_PeakRegion	WT_PeakRegion_10_chr1_5340644_5341309	chr1:5340644-5341309	-1.09523527957073	6.38734391144126	0.0154694895915687	0.042702742036078
chr1	5419996	5420869	Q111_PeakRegion	Q111_PeakRegion_4_chr1_5419996_5420869	chr1:5419996-5420869	-0.302082929950199	0.733536727482211	0.394620113138253	0.477602878883509
chr1	5809866	5810721	WT_PeakRegion	WT_PeakRegion_11_chr1_5809866_5810721	chr1:5809866-5810721	-0.769006893880183	4.60556046184511	0.0352870876036944	0.0755520050317273
chr1	6275871	6276156	WT_PeakRegion	WT_PeakRegion_12_chr1_6275871_6276156	chr1:6275871-6276156	-1.65663694666712	13.2604705275376	0.000763352311791286	0.0067557318917073
chr1	6406923	6407765	WT_PeakRegion	WT_PeakRegion_13_chr1_6406923_6407765	chr1:6406923-6407765	-0.77844911245725	5.67014369940639	0.0199402466838498	0.0507853908672549
chr1	6507457	6507917	WT_PeakRegion	WT_PeakRegion_14_chr1_6507457_6507917	chr1:6507457-6507917	-0.688107183249154	2.58904523293586	0.117914067737533	0.183742458170857
chr1	7054514	7054965	Q111_PeakRegion	Q111_PeakRegion_5_chr1_7054514_7054965	chr1:7054514-7054965	0.313048369132993	0.725067124635773	0.397349195773628	0.480300726577433
chr1	7055432	7055941	WT_PeakRegion	WT_PeakRegion_15_chr1_7055432_7055941	chr1:7055432-7055941	-0.955432721138611	7.06827472763939	0.00968827028521967	0.0309540767586436
chr1	7324269	7325715	WT_PeakRegion	WT_PeakRegion_16_chr1_7324269_7325715	chr1:7324269-7325715	-0.952096019563877	10.4093531394733	0.00189735593092108	0.0112827012504463
chr1	7575701	7576191	WT_PeakRegion	WT_PeakRegion_17_chr1_7575701_7576191	chr1:7575701-7576191	-1.63888103081952	12.8463713352654	0.000616252569661998	0.00596783734264531
chr1	7804755	7805212	WT_PeakRegion	WT_PeakRegion_18_chr1_7804755_7805212	chr1:7804755-7805212	-1.26102526094222	8.31448256710107	0.00610477747426115	0.0228087187854664
chr1	8059190	8060265	WT_PeakRegion	WT_PeakRegion_19_chr1_8059190_8060265	chr1:8059190-8060265	-0.65488545822254	4.53015293470981	0.03677350176873	0.0778234495670039
chr1	8113502	8114094	WT_PeakRegion	WT_PeakRegion_20_chr1_8113502_8114094	chr1:8113502-8114094	-0.429212710394302	1.79392063000581	0.18472027138493	0.259877394185136
chr1	8118355	8119135	Q111_PeakRegion	Q111_PeakRegion_6_chr1_8118355_8119135	chr1:8118355-8119135	0.221841904820333	0.719608457890395	0.399122731677953	0.482223862982041
chr1	8678319	8679634	WT_PeakRegion	WT_PeakRegion_21_chr1_8678319_8679634	chr1:8678319-8679634	-0.646670675890445	5.4424138145944	0.0224912490647276	0.0549006765689482
chr1	9083846	9084200	WT_PeakRegion	WT_PeakRegion_22_chr1_9083846_9084200	chr1:9083846-9084200	-0.405516797922067	0.875038879114413	0.352734305920961	0.437841349778785
chr1	9230616	9231391	WT_PeakRegion	WT_PeakRegion_23_chr1_9230616_9231391	chr1:9230616-9231391	-0.843324312380506	5.43013368470575	0.0226382932792913	0.0551068521267614
chr1	9535818	9536843	WT_PeakRegion	WT_PeakRegion_24_chr1_9535818_9536843	chr1:9535818-9536843	-0.975005856038365	11.140032702505	0.00134745728799101	0.00929747688338622
chr1	9752198	9752805	WT_PeakRegion	WT_PeakRegion_25_chr1_9752198_9752805	chr1:9752198-9752805	-0.996055450293421	8.28604550392271	0.00527477156700448	0.0207645524697301
chr1	10090571	10091853	WT_PeakRegion	WT_PeakRegion_26_chr1_10090571_10091853	chr1:10090571-10091853	-0.870617455314514	7.09452447744081	0.00956032363936735	0.0306783904941375
chr1	10468470	10469958	WT_PeakRegion	WT_PeakRegion_27_chr1_10468470_10469958	chr1:10468470-10469958	-0.563179850382852	2.71407404186999	0.103884950674815	0.166742666001804
chr1	10538967	10539604	Q111_PeakRegion	Q111_PeakRegion_7_chr1_10538967_10539604	chr1:10538967-10539604	0.407915857975297	0.937867470244722	0.336981123218072	0.421455737844167
chr1	10574469	10574853	WT_PeakRegion	WT_PeakRegion_28_chr1_10574469_10574853	chr1:10574469-10574853	-0.518858268256254	1.82472793632835	0.181040182570349	0.256097939654736
chr1	10740647	10741113	WT_PeakRegion	WT_PeakRegion_29_chr1_10740647_10741113	chr1:10740647-10741113	-0.45893112532735	1.32758790641982	0.25309892992444	0.334982013090125
chr1	11675050	11675283	Q111_PeakRegion	Q111_PeakRegion_8_chr1_11675050_11675283	chr1:11675050-11675283	1.79044241604086	11.4805860267357	0.00141591686598466	0.00961044747871264
chr1	11719376	11719943	WT_PeakRegion	WT_PeakRegion_30_chr1_11719376_11719943	chr1:11719376-11719943	-0.611791867309059	2.22708081485923	0.147573846987908	0.218228552757784
chr1	11772979	11773699	Shared_PeakRegion	Shared_PeakRegion_3_chr1_11772979_11773699	chr1:11772979-11773699	-0.389013924230136	1.03120540849054	0.318740631277249	0.402357215470874
chr1	11955309	11956104	Shared_PeakRegion	Shared_PeakRegion_4_chr1_11955309_11956104	chr1:11955309-11956104	-0.158613031634313	0.218175061875323	0.642430668861747	0.705232170980893
chr1	12071046	12071500	Q111_PeakRegion	Q111_PeakRegion_9_chr1_12071046_12071500	chr1:12071046-12071500	-0.215143930607466	0.29240745806105	0.59318407390459	0.662274518114606
chr1	12343230	12343522	WT_PeakRegion	WT_PeakRegion_31_chr1_12343230_12343522	chr1:12343230-12343522	-1.00550545580817	4.92331756794915	0.0417987213529	0.0855319691200802
chr1	12462393	12462940	WT_PeakRegion	WT_PeakRegion_32_chr1_12462393_12462940	chr1:12462393-12462940	-1.00129396169125	5.86770088270927	0.0179751738259292	0.0473438838032388
chr1	12541845	12542203	WT_PeakRegion	WT_PeakRegion_33_chr1_12541845_12542203	chr1:12541845-12542203	-1.19317446111401	8.98474598287347	0.00382877101894337	0.0171211185735941
chr1	12542461	12542870	WT_PeakRegion	WT_PeakRegion_34_chr1_12542461_12542870	chr1:12542461-12542870	-0.909903612542379	4.81604883672141	0.0314679060658463	0.0701356529150646
chr1	12579031	12579584	WT_PeakRegion	WT_PeakRegion_35_chr1_12579031_12579584	chr1:12579031-12579584	-0.944633264201141	6.77312086577883	0.0112572614136276	0.0343008885114771
chr1	12647541	12647963	Shared_PeakRegion	Shared_PeakRegion_5_chr1_12647541_12647963	chr1:12647541-12647963	-0.43480824992891	2.03388793811618	0.158208130853284	0.230559277165446
chr1	12830000	12830887	Shared_PeakRegion	Shared_PeakRegion_6_chr1_12830000_12830887	chr1:12830000-12830887	-0.0552215498690802	0.0293125315605841	0.864546325192144	0.894512975453381
chr1	13055472	13055871	Q111_PeakRegion	Q111_PeakRegion_10_chr1_13055472_13055871	chr1:13055472-13055871	0.0414437970437327	0.00910960511297597	0.924230792399398	0.94097184538823
chr1	13145641	13145968	Q111_PeakRegion	Q111_PeakRegion_11_chr1_13145641_13145968	chr1:13145641-13145968	0.503914342713974	1.14336465601195	0.30455257175905	0.387735786238299
chr1	13239712	13240067	WT_PeakRegion	WT_PeakRegion_36_chr1_13239712_13240067	chr1:13239712-13240067	-1.2603973290489	11.0137269302831	0.00142911418318814	0.00966183593969873
chr1	13308251	13309075	Q111_PeakRegion	Q111_PeakRegion_12_chr1_13308251_13309075	chr1:13308251-13309075	-0.419372145234703	1.26012364459959	0.265408771685667	0.347573985673869
chr1	13327987	13329147	WT_PeakRegion	WT_PeakRegion_37_chr1_13327987_13329147	chr1:13327987-13329147	-0.830798620640786	4.62925072546124	0.0348334913604766	0.0749321175086813
chr1	13411135	13412023	WT_PeakRegion	WT_PeakRegion_38_chr1_13411135_13412023	chr1:13411135-13412023	-0.698645462822585	4.10542659267897	0.0465033097039796	0.09233379812889
chr1	14074994	14075786	WT_PeakRegion	WT_PeakRegion_39_chr1_14074994_14075786	chr1:14074994-14075786	-0.44620339549729	1.39587470476023	0.241357058900409	0.322429840885035
chr1	14255907	14256493	Q111_PeakRegion	Q111_PeakRegion_13_chr1_14255907_14256493	chr1:14255907-14256493	0.00873975147799673	0.000469386367062939	0.982775684336624	0.986791206421998
chr1	14409861	14410223	WT_PeakRegion	WT_PeakRegion_40_chr1_14409861_14410223	chr1:14409861-14410223	-0.517977040643486	1.69461827085745	0.209811889270063	0.288232219697966
chr1	14432104	14432657	WT_PeakRegion	WT_PeakRegion_41_chr1_14432104_14432657	chr1:14432104-14432657	-0.984062556200193	6.33471143780329	0.0145794914357732	0.041039287693611
chr1	15069442	15069785	Q111_PeakRegion	Q111_PeakRegion_14_chr1_15069442_15069785	chr1:15069442-15069785	-0.467948695301931	2.42546965243131	0.123823231186122	0.19062355535311
chr1	15073654	15074506	WT_PeakRegion	WT_PeakRegion_42_chr1_15073654_15074506	chr1:15073654-15074506	-0.949347632445466	6.67725216282737	0.0118226220011412	0.0354611543247399
chr1	15297522	15298018	WT_PeakRegion	WT_PeakRegion_43_chr1_15297522_15298018	chr1:15297522-15298018	-0.918932521648427	5.4662963047014	0.0238154129784619	0.0572339024206064
chr1	15732763	15733658	WT_PeakRegion	WT_PeakRegion_44_chr1_15732763_15733658	chr1:15732763-15733658	-1.10508007976806	9.19740310188586	0.00338267852314685	0.0157188935594075
chr1	16060526	16064870	Shared_PeakRegion	Shared_PeakRegion_7_chr1_16060526_16064870	chr1:16060526-16064870	-0.617199829562093	11.6033768676846	0.00108709853283172	0.00817984044106414
chr1	16077172	16077889	WT_PeakRegion	WT_PeakRegion_45_chr1_16077172_16077889	chr1:16077172-16077889	-0.701823017430073	3.70729656895624	0.0581800068231059	0.10865414892954
chr1	16311559	16311943	WT_PeakRegion	WT_PeakRegion_46_chr1_16311559_16311943	chr1:16311559-16311943	-1.43835821784442	9.36320318722594	0.00396100938128323	0.0174423197594301
chr1	16822878	16823798	WT_PeakRegion	WT_PeakRegion_47_chr1_16822878_16823798	chr1:16822878-16823798	-0.539062671756979	2.54819252001814	0.114861435533223	0.179985751193719
chr1	16943387	16943997	WT_PeakRegion	WT_PeakRegion_48_chr1_16943387_16943997	chr1:16943387-16943997	-0.708740569561622	3.20484009933975	0.0783520821758609	0.135506784345716
chr1	17379586	17380252	Shared_PeakRegion	Shared_PeakRegion_8_chr1_17379586_17380252	chr1:17379586-17380252	-0.181386045665146	0.224686135576583	0.647867391955709	0.709799350004766
chr1	17674076	17674305	WT_PeakRegion	WT_PeakRegion_49_chr1_17674076_17674305	chr1:17674076-17674305	-1.12523527370238	6.03291581306579	0.0250694207837995	0.059359819158534
chr1	17675444	17676285	WT_PeakRegion	WT_PeakRegion_50_chr1_17675444_17676285	chr1:17675444-17676285	-0.542951818755368	2.39974049697543	0.125800783441363	0.192965144233544
chr1	18068120	18069355	Shared_PeakRegion	Shared_PeakRegion_9_chr1_18068120_18069355	chr1:18068120-18069355	-0.845574446293244	7.11076668027136	0.00948204519556604	0.0304758359039557
chr1	18078653	18078891	WT_PeakRegion	WT_PeakRegion_51_chr1_18078653_18078891	chr1:18078653-18078891	-1.03369049984318	4.24699756781616	0.0563920864682146	0.106106691187611
chr1	18527180	18528520	Shared_PeakRegion	Shared_PeakRegion_10_chr1_18527180_18528520	chr1:18527180-18528520	-0.701423356964778	5.29250845108179	0.0243578364147109	0.0581539216887144
chr1	18532876	18533189	WT_PeakRegion	WT_PeakRegion_52_chr1_18532876_18533189	chr1:18532876-18533189	-1.13332929289364	6.69659008335196	0.0159880420794873	0.0437116793412529
chr1	18891602	18892005	WT_PeakRegion	WT_PeakRegion_53_chr1_18891602_18892005	chr1:18891602-18892005	-1.59328647984385	10.766332732073	0.00160429586528683	0.0102992675628711
chr1	19059029	19059563	WT_PeakRegion	WT_PeakRegion_54_chr1_19059029_19059563	chr1:19059029-19059563	-1.07593212871862	7.63101375251781	0.00763781411290626	0.0265053470381217
chr1	19200289	19200606	WT_PeakRegion	WT_PeakRegion_55_chr1_19200289_19200606	chr1:19200289-19200606	-1.65931492777536	13.0792361091288	0.000554806152547098	0.0057062106297813
chr1	19805106	19805672	WT_PeakRegion	WT_PeakRegion_56_chr1_19805106_19805672	chr1:19805106-19805672	-1.00160767788602	7.55299974137333	0.00758984867457912	0.0263822141264071
chr1	19828964	19829888	Shared_PeakRegion	Shared_PeakRegion_11_chr1_19828964_19829888	chr1:19828964-19829888	-1.033866959604	8.86370932758494	0.00397626648912741	0.0174647512329936
chr1	20116756	20117739	WT_PeakRegion	WT_PeakRegion_57_chr1_20116756_20117739	chr1:20116756-20117739	-1.11058136669964	10.2918403352837	0.00200558397653461	0.0116062463746119
chr1	20274122	20274835	WT_PeakRegion	WT_PeakRegion_58_chr1_20274122_20274835	chr1:20274122-20274835	-1.0024755296994	6.26282307243232	0.0156381571126348	0.0430866025370009
chr1	20383544	20384075	WT_PeakRegion	WT_PeakRegion_59_chr1_20383544_20384075	chr1:20383544-20384075	-0.22528389386898	0.375813541075801	0.543722829663721	0.619129217786266
chr1	20422384	20423577	WT_PeakRegion	WT_PeakRegion_60_chr1_20422384_20423577	chr1:20422384-20423577	-1.26073531449261	12.8785366629209	0.000607361623433333	0.00596142746727313
chr1	20476205	20477612	Shared_PeakRegion	Shared_PeakRegion_12_chr1_20476205_20477612	chr1:20476205-20477612	-0.75644619139814	5.90942124888479	0.0175870169048081	0.0465302973543082
chr1	20729410	20729911	WT_PeakRegion	WT_PeakRegion_61_chr1_20729410_20729911	chr1:20729410-20729911	-1.10807079965762	8.62218660277417	0.00447304195877135	0.0187566009437845
chr1	22068331	22068938	WT_PeakRegion	WT_PeakRegion_62_chr1_22068331_22068938	chr1:22068331-22068938	-0.329382366268079	0.841779000408428	0.361994056900433	0.446920341075696
chr1	22144812	22145199	WT_PeakRegion	WT_PeakRegion_63_chr1_22144812_22145199	chr1:22144812-22145199	-0.822700237846385	4.38669220868057	0.0406613398503007	0.0837761237893166
chr1	22837537	22838045	WT_PeakRegion	WT_PeakRegion_64_chr1_22837537_22838045	chr1:22837537-22838045	-0.783054457535201	4.43686377586366	0.0387058513886741	0.0810017042153817
chr1	22880477	22881295	WT_PeakRegion	WT_PeakRegion_65_chr1_22880477_22881295	chr1:22880477-22881295	-0.94273799082002	6.9591946066652	0.010239522076964	0.0321548379754172
chr1	23366843	23367316	Q111_PeakRegion	Q111_PeakRegion_15_chr1_23366843_23367316	chr1:23366843-23367316	0.0526000956420101	0.0172918884030623	0.899484219733278	0.922933069943929
chr1	23562856	23564047	Shared_PeakRegion	Shared_PeakRegion_13_chr1_23562856_23564047	chr1:23562856-23564047	-0.911724404275081	9.17841257556286	0.0034138441953475	0.0158081032481319
chr1	23790333	23790733	Q111_PeakRegion	Q111_PeakRegion_16_chr1_23790333_23790733	chr1:23790333-23790733	0.126521753932359	0.124577607415776	0.725167318650009	0.777558909809706
chr1	23881860	23882117	WT_PeakRegion	WT_PeakRegion_66_chr1_23881860_23882117	chr1:23881860-23882117	-1.26096748809985	8.1403399533337	0.0075028598280851	0.0262134803387163
chr1	23948538	23948961	WT_PeakRegion	WT_PeakRegion_67_chr1_23948538_23948961	chr1:23948538-23948961	-2.36231709329691	21.9601833596659	1.30505731294278e-05	0.000865660866205566
chr1	23968635	23968874	WT_PeakRegion	WT_PeakRegion_68_chr1_23968635_23968874	chr1:23968635-23968874	-1.85291814274225	11.0845836919742	0.00267518195192626	0.0136695588423621
chr1	24338124	24338624	WT_PeakRegion	WT_PeakRegion_69_chr1_24338124_24338624	chr1:24338124-24338624	-1.00622163457889	5.98042611177801	0.0198675364496836	0.0506651796319466
chr1	24861144	24862287	Shared_PeakRegion	Shared_PeakRegion_14_chr1_24861144_24862287	chr1:24861144-24862287	-0.276231238918079	2.0053131586976	0.161120333622683	0.233701548174461
chr1	24862444	24863303	Q111_PeakRegion	Q111_PeakRegion_17_chr1_24862444_24863303	chr1:24862444-24863303	-0.218128368628612	0.71980975725042	0.399057123313581	0.48219972807943
chr1	25205454	25205736	WT_PeakRegion	WT_PeakRegion_70_chr1_25205454_25205736	chr1:25205454-25205736	-1.62384289308183	13.9359299225974	0.000428080263532418	0.00491687407037725
chr1	25246119	25246541	WT_PeakRegion	WT_PeakRegion_71_chr1_25246119_25246541	chr1:25246119-25246541	-0.854860309872656	4.9735398887021	0.0288998973167657	0.0659721786446886
chr1	25718927	25720086	Shared_PeakRegion	Shared_PeakRegion_15_chr1_25718927_25720086	chr1:25718927-25720086	-1.09970729178305	10.1057749126128	0.00219026563902771	0.0121398233235118
chr1	25972872	25973150	WT_PeakRegion	WT_PeakRegion_72_chr1_25972872_25973150	chr1:25972872-25973150	-0.829277248074918	3.65718939916248	0.0628975042441023	0.114765147750121
chr1	26611066	26611338	WT_PeakRegion	WT_PeakRegion_73_chr1_26611066_26611338	chr1:26611066-26611338	-1.04993622443385	5.92467266936761	0.0175438793300774	0.0464456529674699
chr1	27183428	27183858	Q111_PeakRegion	Q111_PeakRegion_18_chr1_27183428_27183858	chr1:27183428-27183858	0.0346023085911145	0.00712067026749324	0.935233693428775	0.949520987553984
chr1	27196665	27197256	WT_PeakRegion	WT_PeakRegion_74_chr1_27196665_27197256	chr1:27196665-27197256	-0.754145440707911	3.78044323861983	0.0606856320446603	0.112004733209534
chr1	27216243	27217115	WT_PeakRegion	WT_PeakRegion_75_chr1_27216243_27217115	chr1:27216243-27217115	-1.18622813867112	10.3408179444132	0.0019597161843687	0.0114664013954729
chr1	27251035	27252323	WT_PeakRegion	WT_PeakRegion_76_chr1_27251035_27252323	chr1:27251035-27252323	-1.07058069478161	10.4520092070291	0.00185958799152639	0.0111585839332535
chr1	27790723	27791037	WT_PeakRegion	WT_PeakRegion_77_chr1_27790723_27791037	chr1:27790723-27791037	-0.533571583129108	1.71200045876286	0.211369692591805	0.289882354525321
chr1	28344427	28345784	Shared_PeakRegion	Shared_PeakRegion_16_chr1_28344427_28345784	chr1:28344427-28345784	-0.303100493350596	0.95554904351059	0.331629247512251	0.41594376955038
chr1	30053350	30053726	WT_PeakRegion	WT_PeakRegion_78_chr1_30053350_30053726	chr1:30053350-30053726	0.198806222045571	0.237362901116253	0.640250078837482	0.703349889081575
chr1	30098884	30100225	Shared_PeakRegion	Shared_PeakRegion_17_chr1_30098884_30100225	chr1:30098884-30100225	-0.930224264800468	9.87369889293308	0.00244570337330732	0.0129412857014213
chr1	30366974	30368072	WT_PeakRegion	WT_PeakRegion_79_chr1_30366974_30368072	chr1:30366974-30368072	-0.92990534437456	7.30063720567323	0.00861527906711207	0.0287911618918954
chr1	30396061	30396683	WT_PeakRegion	WT_PeakRegion_80_chr1_30396061_30396683	chr1:30396061-30396683	-1.34573080231559	10.5764245859392	0.00175382953557432	0.0107880505530612
chr1	30427643	30428805	WT_PeakRegion	WT_PeakRegion_81_chr1_30427643_30428805	chr1:30427643-30428805	-1.39457906516785	17.2943117641755	8.83158017463398e-05	0.002259644254367
chr1	30631632	30632364	WT_PeakRegion	WT_PeakRegion_82_chr1_30631632_30632364	chr1:30631632-30632364	-0.616277638255283	2.99266620517119	0.0879866043804269	0.147813905474419
chr1	30743295	30743613	WT_PeakRegion	WT_PeakRegion_83_chr1_30743295_30743613	chr1:30743295-30743613	-1.08623357949034	5.73882164209709	0.0240034523721682	0.0575941147176887
chr1	30787164	30787713	WT_PeakRegion	WT_PeakRegion_84_chr1_30787164_30787713	chr1:30787164-30787713	-1.3050266341913	10.6995389959648	0.001787741996103	0.0108710553389167
chr1	30809770	30810244	Q111_PeakRegion	Q111_PeakRegion_19_chr1_30809770_30810244	chr1:30809770-30810244	0.96607584743827	3.52179535619341	0.0646756464451906	0.117025266436015
chr1	31274800	31275400	WT_PeakRegion	WT_PeakRegion_85_chr1_31274800_31275400	chr1:31274800-31275400	-0.816041630927382	5.11829864781929	0.0267359151833159	0.0622973353345313
chr1	31789556	31790310	WT_PeakRegion	WT_PeakRegion_86_chr1_31789556_31790310	chr1:31789556-31790310	0.283625950737555	1.56865148491555	0.214511984182117	0.293240379929163
chr1	32130124	32131441	Shared_PeakRegion	Shared_PeakRegion_18_chr1_32130124_32131441	chr1:32130124-32131441	-0.595201658543142	3.61805800807997	0.0612115706673381	0.112824466639065
chr1	33076173	33077062	WT_PeakRegion	WT_PeakRegion_87_chr1_33076173_33077062	chr1:33076173-33077062	-0.592476583022923	2.4137259373158	0.124721455506564	0.191643393970898
chr1	33464337	33465693	WT_PeakRegion	WT_PeakRegion_88_chr1_33464337_33465693	chr1:33464337-33465693	-0.771997182087389	5.79619531442061	0.0186616619621224	0.0486871195069958
chr1	33623998	33625868	Q111_PeakRegion	Q111_PeakRegion_20_chr1_33623998_33625868	chr1:33623998-33625868	1.57684878250348	16.7685996719551	0.000110384562419002	0.00255752520219472
chr1	33657001	33657915	WT_PeakRegion	WT_PeakRegion_89_chr1_33657001_33657915	chr1:33657001-33657915	-0.963398238016282	6.87987481355475	0.0106610070706221	0.0330754144789384
chr1	33810775	33811077	WT_PeakRegion	WT_PeakRegion_90_chr1_33810775_33811077	chr1:33810775-33811077	-0.990956830199381	5.80686145519374	0.0191593739004776	0.0495247318997912
chr1	34438826	34439350	Q111_PeakRegion	Q111_PeakRegion_21_chr1_34438826_34439350	chr1:34438826-34439350	-0.232203636735223	0.398397487653521	0.529944446316401	0.606249102979908
chr1	34524905	34525347	WT_PeakRegion	WT_PeakRegion_91_chr1_34524905_34525347	chr1:34524905-34525347	-0.685539589469359	2.93000167406265	0.0913118496976442	0.151927620178713
chr1	34608657	34609174	WT_PeakRegion	WT_PeakRegion_92_chr1_34608657_34609174	chr1:34608657-34609174	-0.203531293021232	0.274577831113845	0.602206790330907	0.669350915475617
chr1	34816467	34816856	WT_PeakRegion	WT_PeakRegion_93_chr1_34816467_34816856	chr1:34816467-34816856	-0.569420304325728	2.35305842658677	0.129480926796102	0.197492054482449
chr1	34828213	34828738	Q111_PeakRegion	Q111_PeakRegion_22_chr1_34828213_34828738	chr1:34828213-34828738	-0.931381632517668	5.64646748775584	0.0201905791057955	0.0511862114249014
chr1	35110688	35111176	WT_PeakRegion	WT_PeakRegion_94_chr1_35110688_35111176	chr1:35110688-35111176	-0.716766308710958	2.56720368469034	0.113539664014427	0.17840500069003
chr1	35225506	35226314	WT_PeakRegion	WT_PeakRegion_95_chr1_35225506_35226314	chr1:35225506-35226314	-0.760072510493549	5.57282339781659	0.0209907363183155	0.0523876028993009
chr1	35541785	35542283	WT_PeakRegion	WT_PeakRegion_96_chr1_35541785_35542283	chr1:35541785-35542283	-1.53031203458438	13.1970245684491	0.000526177670796018	0.00556648069790438
chr1	35643093	35643387	WT_PeakRegion	WT_PeakRegion_97_chr1_35643093_35643387	chr1:35643093-35643387	-1.12711855586594	7.07945972909095	0.0128517790489243	0.0377045794721171
chr1	35953424	35953828	WT_PeakRegion	WT_PeakRegion_98_chr1_35953424_35953828	chr1:35953424-35953828	-1.05800841288626	6.94192246645487	0.0115684570379173	0.0348670523444586
chr1	36028191	36028883	WT_PeakRegion	WT_PeakRegion_99_chr1_36028191_36028883	chr1:36028191-36028883	-1.05317141656048	8.61951960465629	0.0044788757347861	0.0187736136015409
chr1	36035108	36036198	WT_PeakRegion	WT_PeakRegion_100_chr1_36035108_36036198	chr1:36035108-36036198	-0.647218258489769	4.05247519104603	0.0478985466370935	0.0942189021433668
chr1	36121530	36121951	Q111_PeakRegion	Q111_PeakRegion_23_chr1_36121530_36121951	chr1:36121530-36121951	-0.0864470943657527	0.0591558241867198	0.808536402687911	0.848778478760496
chr1	36156406	36156979	WT_PeakRegion	WT_PeakRegion_101_chr1_36156406_36156979	chr1:36156406-36156979	-1.05090970267733	7.69201906858587	0.00708038901172607	0.0252338855605091
chr1	36292667	36293207	WT_PeakRegion	WT_PeakRegion_102_chr1_36292667_36293207	chr1:36292667-36293207	-1.15808429450716	9.1075216430645	0.00353285386712497	0.0162100159851974
chr1	36344316	36344818	WT_PeakRegion	WT_PeakRegion_103_chr1_36344316_36344818	chr1:36344316-36344818	-0.98994925612218	7.49499961094954	0.00781362125431676	0.0269034003891708
chr1	36676174	36677146	WT_PeakRegion	WT_PeakRegion_104_chr1_36676174_36677146	chr1:36676174-36677146	-0.624221231230454	3.3736714410103	0.0704308628863441	0.124956838166554
chr1	36701143	36701700	WT_PeakRegion	WT_PeakRegion_105_chr1_36701143_36701700	chr1:36701143-36701700	-1.02691965471725	8.28623643496921	0.00527427581174486	0.0207645524697301
chr1	37695477	37696620	Q111_PeakRegion	Q111_PeakRegion_24_chr1_37695477_37696620	chr1:37695477-37696620	0.0662182801147062	0.0811650977465694	0.776553883947711	0.82115930067802
chr1	38435650	38436209	WT_PeakRegion	WT_PeakRegion_106_chr1_38435650_38436209	chr1:38435650-38436209	-0.427129413353336	1.2132287428141	0.277187407836947	0.359479545730611
chr1	38836705	38837207	WT_PeakRegion	WT_PeakRegion_107_chr1_38836705_38837207	chr1:38836705-38837207	-0.983467708923836	7.11064882702757	0.0094826107536318	0.0304758359039557
chr1	38866068	38867500	Shared_PeakRegion	Shared_PeakRegion_19_chr1_38866068_38867500	chr1:38866068-38867500	-0.0585374229190657	0.0344229310700712	0.853338996104671	0.885344444952191
